Education,Marital_Status,Income,Recency,Complain,Age,Engaged_Days,Kids,Expenses,TotalAcceptedCampaign,NumTotalPurchases
0,1,58138.0,58,0,57,971,0,1617,1,25
0,1,46344.0,38,0,60,125,2,27,0,6
0,0,71613.0,26,0,49,472,0,776,0,21
0,0,26646.0,26,0,30,65,1,53,0,8
0,0,58293.0,94,0,33,321,1,422,0,19
0,0,62513.0,16,0,47,453,1,716,0,22
0,1,55635.0,34,0,43,753,1,590,0,21
0,0,33454.0,32,0,29,488,1,169,0,10
0,0,30351.0,19,0,40,548,1,46,1,6
0,0,5648.0,68,0,64,268,2,49,1,2
1,0,7500.0,59,0,38,753,0,61,0,6
0,1,63033.0,82,0,55,386,0,1102,0,16
0,1,59354.0,53,0,62,386,2,310,0,15
0,0,17323.0,38,0,27,787,0,46,0,5
0,1,82800.0,23,0,68,742,0,1315,3,26
0,0,41850.0,51,0,34,712,2,96,0,9
0,0,37760.0,20,0,68,827,0,317,0,13
0,0,76995.0,91,0,65,618,1,1782,1,26
0,1,33812.0,86,0,29,1000,1,133,0,8
0,0,37040.0,41,0,32,850,0,316,0,12
0,0,2447.0,42,0,35,553,1,1730,0,43
0,0,58607.0,63,0,65,713,1,972,1,17
0,0,65324.0,0,0,60,35,1,544,0,20
0,0,40689.0,69,0,63,628,1,444,0,20
0,1,18589.0,89,0,45,673,0,75,0,8
0,0,53359.0,4,0,38,558,2,257,0,14
0,0,38360.0,26,0,25,554,1,131,0,9
0,0,84618.0,96,0,49,379,0,1672,1,26
0,1,10979.0,34,0,25,198,0,30,0,8
0,0,38620.0,56,0,51,396,0,318,0,11
0,0,40548.0,31,0,44,787,1,120,1,9
0,1,46610.0,8,0,62,768,2,302,1,17
0,0,68657.0,4,0,68,654,0,1196,0,18
0,1,49389.0,55,0,63,464,2,65,0,6
0,0,67353.0,37,0,44,340,1,913,0,28
0,0,23718.0,76,0,38,665,1,81,0,9
0,1,42429.0,99,0,41,34,1,67,0,7
0,1,48948.0,53,0,71,703,0,902,2,24
0,0,80011.0,3,0,34,586,1,1395,0,21
0,0,20559.0,88,0,29,368,1,53,0,7
0,0,21994.0,4,0,57,712,1,22,0,4
0,0,7500.0,19,0,39,664,1,31,0,8
0,1,79941.0,72,0,38,161,0,984,0,16
0,0,7500.0,24,0,18,816,0,122,1,10
0,0,41728.0,92,0,46,561,1,55,0,5
0,0,72550.0,39,0,60,847,2,1319,0,28
0,1,65486.0,29,0,57,1,1,507,0,17
